Date,Open,High,Low,Close,Adj Close,Volume,abs_bins,pct_change,pct_change_bins
2018-06-29,195.8600006103516,198.8300018310547,194.9900054931641,195.1000061035156,186.58657836914062,4106600,1,,
2018-07-02,193.82000732421875,194.17999267578125,192.1199951171875,194.0200042724609,185.55368041992188,3822800,1,-0.00553563196959439,1.0
2018-07-03,194.44000244140625,195.7100067138672,193.41000366210938,193.6199951171875,185.171142578125,1608400,1,-0.0020616902714406526,1.0
2018-07-05,194.4900054931641,194.7400054931641,193.1300048828125,194.41000366210938,185.92665100097656,3040600,1,0.004080201243904291,2.0
2018-07-06,194.5800018310547,195.3500061035156,192.9499969482422,194.47999572753903,185.9935760498047,2552400,1,0.00036002296235393416,1.0
2018-07-09,195.6999969482422,196.7100067138672,195.02999877929688,196.0800018310547,187.5238037109375,2575100,1,0.008227098615104955,3.0
2018-07-10,196.55999755859372,197.75999450683597,196.3800048828125,197.6100006103516,188.98703002929688,2842400,2,0.007802931278097169,3.0
2018-07-11,197.22000122070312,197.75999450683597,195.9499969482422,196.9499969482422,188.3558349609375,3309300,1,-0.0033399304694644583,1.0
2018-07-12,198.1999969482422,198.47999572753903,197.0,197.9499969482422,189.31219482421875,2709200,2,0.005077430898680291,2.0
2018-07-13,198.4600067138672,199.92999267578125,198.4600067138672,198.69000244140625,190.0198974609375,2308100,2,0.003738345564903156,2.0
2018-07-16,199.13999938964844,199.22000122070312,197.88999938964844,198.8800048828125,190.20159912109372,2530500,2,0.0009562758018601958,2.0
2018-07-17,198.6300048828125,201.42999267578125,198.6300048828125,201.1000061035156,192.32472229003903,4662800,2,0.011162515920145832,3.0
2018-07-18,201.0200042724609,201.9199981689453,200.19000244140625,200.97000122070312,192.20040893554688,3787800,2,-0.0006464688158465126,1.0
2018-07-19,200.88999938964844,203.22999572753903,200.5500030517578,202.6300048828125,193.78797912597656,3691100,2,0.008259957466419943,3.0
2018-07-20,202.0800018310547,203.75999450683597,201.82000732421875,202.4499969482422,193.6158142089844,3564100,2,-0.0008883577467928561,1.0
2018-07-23,202.4600067138672,203.38999938964844,201.8999938964844,202.22999572753903,193.40542602539062,2264300,2,-0.0010866941171621125,1.0
2018-07-24,203.52999877929688,204.25,201.3500061035156,201.9900054931641,193.1759185791016,5058100,2,-0.0011867192772840873,1.0
2018-07-25,201.3999938964844,202.2899932861328,199.07000732421875,201.0,192.2290954589844,4382700,2,-0.004901259796230795,1.0
2018-07-26,201.52999877929688,202.1199951171875,198.91000366210938,199.3999938964844,190.6988983154297,4280000,2,-0.007960229370724381,0.0
2018-07-27,200.2100067138672,200.4900054931641,196.67999267578125,197.13999938964844,188.53753662109372,3871200,2,-0.01133397480447873,0.0
2018-07-30,196.52999877929688,197.57000732421875,196.3999938964844,197.27999877929688,188.6714324951172,2331100,2,0.0007101521258083832,2.0
2018-07-31,197.69000244140625,198.02999877929688,196.8699951171875,197.5200042724609,188.9009704589844,2795900,2,0.0012165728641986284,2.0
2018-08-01,196.8600006103516,197.7400054931641,195.6000061035156,196.3000030517578,187.73419189453125,3086800,1,-0.006176595758980552,1.0
2018-08-02,195.1000061035156,195.83999633789062,193.5500030517578,195.66000366210938,187.1221160888672,3543500,1,-0.00326031268313165,1.0
2018-08-03,196.02999877929688,196.3999938964844,195.25,195.63999938964844,187.1029815673828,2309000,1,-0.00010223996773239818,1.0
2018-08-06,195.6199951171875,196.05999755859372,195.1100006103516,195.69000244140625,187.1508026123047,2515700,1,0.0002555870574207919,1.0
