Date,High,Low,Open,Close,Volume,Adj Close
2017-09-01,171.89999389648438,169.60000610351562,169.9499969482422,170.4600067138672,11135800.0,169.105712890625
2017-09-05,168.5800018310547,163.55999755859375,168.3800048828125,165.91000366210938,17384100.0,164.59185791015625
2017-09-06,167.8000030517578,164.39999389648438,167.24000549316406,165.80999755859375,9941800.0,164.49266052246094
2017-09-07,167.88999938964844,164.9499969482422,166.49000549316406,166.5800018310547,8821700.0,165.25653076171875
2017-09-08,166.7100067138672,162.7100067138672,166.11000061035156,163.69000244140625,12471400.0,162.3894805908203
2017-09-11,169.42999267578125,165.32000732421875,165.5399932861328,169.0,14186100.0,167.65731811523438
2017-09-12,170.0,166.97000122070312,170.0,169.61000061035156,10287200.0,168.26243591308594
2017-09-13,171.5399932861328,167.27999877929688,168.58999633789062,170.3699951171875,14524000.0,169.01638793945312
2017-09-14,172.55999755859375,167.8000030517578,168.7899932861328,169.39999389648438,12842800.0,168.05413818359375
2017-09-15,180.11000061035156,172.64999389648438,172.86000061035156,180.11000061035156,34119800.0,178.67901611328125
2017-09-18,191.1999969482422,184.86000061035156,185.13999938964844,187.5500030517578,42111500.0,186.05992126464844
2017-09-19,189.85000610351562,184.6199951171875,185.50999450683594,187.35000610351562,21857000.0,185.86151123046875
2017-09-20,189.4199981689453,184.2100067138672,187.5,185.83999633789062,18123000.0,184.363525390625
2017-09-21,182.6999969482422,177.61000061035156,181.63999938964844,180.75999450683594,26890000.0,179.32386779785156
2017-09-22,182.30999755859375,178.60000610351562,180.3000030517578,179.0,12280800.0,177.5778350830078
2017-09-25,177.8000030517578,170.16000366210938,177.75,171.0,21864500.0,169.64141845703125
2017-09-26,178.67999267578125,170.35000610351562,176.4499969482422,171.9600067138672,28140500.0,170.5937957763672
2017-09-27,176.27000427246094,172.75,175.6199951171875,175.72999572753906,17843000.0,174.3338165283203
2017-09-28,176.17999267578125,173.75999450683594,176.02000427246094,175.67999267578125,10881100.0,174.2842254638672
2017-09-29,179.72999572753906,177.25,179.0800018310547,178.77000427246094,15477300.0,177.3496856689453
2017-10-02,181.97999572753906,177.0,180.8000030517578,179.0,12587000.0,177.5778350830078
2017-10-03,180.5800018310547,177.5800018310547,179.25,179.3699951171875,9758300.0,177.94491577148438
2017-10-04,181.77000427246094,178.13999938964844,179.6199951171875,180.8699951171875,10696200.0,179.4329833984375
2017-10-05,182.0,179.55999755859375,181.86000061035156,180.77000427246094,10934100.0,179.33377075195312
2017-10-06,181.83999633789062,179.0,179.64999389648438,181.3000030517578,7970000.0,179.8595733642578
2017-10-09,186.72999572753906,182.02999877929688,182.7899932861328,185.38999938964844,14087300.0,183.9170684814453
2017-10-10,192.9499969482422,187.25999450683594,191.42999267578125,188.92999267578125,24371900.0,187.428955078125
2017-10-11,191.0,187.74000549316406,189.60000610351562,190.94000244140625,13237700.0,189.4229736328125
2017-10-12,193.08999633789062,189.92999267578125,191.0800018310547,191.02999877929688,13207300.0,189.51223754882812
2017-10-13,195.0,191.64999389648438,193.5500030517578,194.58999633789062,15718200.0,193.04396057128906
