,Date,Open,High,Low,Close,Adj Close,Volume,Hour
0,2018-06-04 01:00:00,101.6,101.67,101.6,101.65,101.65,0,01:00:00
1,2018-06-04 02:00:00,101.64,101.7,101.63,101.7,101.7,0,02:00:00
2,2018-06-05 01:00:00,102.0,102.39,102.0,102.39,102.39,0,01:00:00
3,2018-06-05 02:00:00,102.25,102.3,102.15,102.15,102.15,0,02:00:00
4,2018-06-05 03:00:00,102.07,102.15,102.02,102.12,102.12,0,03:00:00
5,2018-06-05 04:00:00,102.01,102.28,101.85,101.9,101.9,0,04:00:00
6,2018-06-05 05:00:00,101.9,102.08,101.67,102.0,102.0,0,05:00:00
7,2018-06-05 06:00:00,102.03,102.17,101.54,102.01,102.01,5723187,06:00:00
8,2018-06-05 07:00:00,102.04,102.25,101.96,102.11,102.11,3065712,07:00:00
9,2018-06-05 08:00:00,102.11,102.15,101.55,101.63,101.63,2512319,08:00:00
10,2018-06-05 09:00:00,101.64,101.92,101.57,101.81,101.81,1649849,09:00:00
11,2018-06-05 10:00:00,101.81,102.1,101.73,102.06,102.06,1580805,10:00:00
12,2018-06-05 11:00:00,102.06,102.27,102.03,102.15,102.15,1988586,11:00:00
13,2018-06-05 12:00:00,102.14,102.33,102.1,102.21,102.21,2965706,12:00:00
14,2018-06-05 13:00:00,102.19,102.34,101.88,102.34,102.34,0,13:00:00
15,2018-06-05 14:00:00,102.34,102.34,102.23,102.32,102.32,0,14:00:00
16,2018-06-05 15:00:00,102.25,102.25,102.25,102.25,102.25,0,15:00:00
17,2018-06-05 16:00:00,102.27,102.32,102.27,102.32,102.32,0,16:00:00
18,2018-06-06 01:00:00,102.33,102.67,102.33,102.67,102.67,0,01:00:00
19,2018-06-06 02:00:00,102.6,102.7,102.6,102.6,102.6,0,02:00:00
20,2018-06-06 03:00:00,102.74,102.85,102.51,102.72,102.72,0,03:00:00
21,2018-06-06 04:00:00,102.6,102.77,102.5,102.74,102.74,0,04:00:00
22,2018-06-06 05:00:00,102.77,102.84,102.41,102.5,102.5,0,05:00:00
23,2018-06-06 06:00:00,102.51,102.58,101.92,102.1,102.1,4507459,06:00:00
24,2018-06-06 07:00:00,102.1,102.49,101.92,102.47,102.47,2829313,07:00:00
25,2018-06-06 08:00:00,102.46,102.54,102.19,102.24,102.24,1720221,08:00:00
26,2018-06-06 09:00:00,102.22,102.28,102.01,102.07,102.07,1296066,09:00:00
27,2018-06-06 10:00:00,102.08,102.29,102.01,102.21,102.21,1210523,10:00:00
28,2018-06-06 11:00:00,102.21,102.46,102.19,102.35,102.35,1568866,11:00:00
29,2018-06-06 12:00:00,102.35,102.58,102.28,102.58,102.58,3056125,12:00:00
30,2018-06-06 13:00:00,102.49,102.49,102.04,102.31,102.31,0,13:00:00
31,2018-06-06 14:00:00,102.35,102.49,102.35,102.45,102.45,0,14:00:00
32,2018-06-06 15:00:00,102.41,102.55,102.33,102.5,102.5,0,15:00:00
33,2018-06-06 16:00:00,102.49,102.49,102.32,102.47,102.47,0,16:00:00
34,2018-06-07 01:00:00,102.57,102.64,102.57,102.64,102.64,0,01:00:00
35,2018-06-07 02:00:00,102.65,102.65,102.65,102.65,102.65,0,02:00:00
36,2018-06-07 03:00:00,102.77,102.77,102.56,102.6,102.6,0,03:00:00
37,2018-06-07 04:00:00,102.6,102.68,102.49,102.62,102.62,0,04:00:00
38,2018-06-07 05:00:00,102.6,102.69,102.49,102.69,102.69,0,05:00:00
39,2018-06-07 06:00:00,102.66,102.66,101.64,101.76,101.76,3924995,06:00:00
40,2018-06-07 07:00:00,101.74,101.79,100.92,101.68,101.68,4549468,07:00:00
41,2018-06-07 08:00:00,101.69,101.73,101.37,101.7,101.7,2405016,08:00:00
42,2018-06-07 09:00:00,101.7,101.7,100.9,101.05,101.05,2223376,09:00:00
43,2018-06-07 10:00:00,101.02,101.1,100.39,100.62,100.62,3846619,10:00:00
44,2018-06-07 11:00:00,100.61,101.1,100.6,101.0,101.0,2809920,11:00:00
45,2018-06-07 12:00:00,100.99,101.01,100.74,100.92,100.92,2960013,12:00:00
46,2018-06-07 13:00:00,100.88,102.05,100.7,100.75,100.75,0,13:00:00
47,2018-06-07 14:00:00,100.84,101.22,100.84,101.18,101.18,0,14:00:00
48,2018-06-07 15:00:00,101.12,101.14,100.3,101.06,101.06,0,15:00:00
49,2018-06-07 16:00:00,101.03,101.24,101.0,101.19,101.19,0,16:00:00
50,2018-06-08 01:00:00,100.5,100.5,100.03,100.03,100.03,0,01:00:00
51,2018-06-08 02:00:00,100.01,100.01,100.0,100.0,100.0,0,02:00:00
52,2018-06-08 03:00:00,99.98,100.4,99.98,100.4,100.4,0,03:00:00
53,2018-06-08 04:00:00,100.5,100.56,100.01,100.38,100.38,0,04:00:00
54,2018-06-08 05:00:00,100.38,101.01,100.38,101.0,101.0,0,05:00:00
55,2018-06-08 06:00:00,101.09,101.2,100.54,100.81,100.81,4696381,06:00:00
56,2018-06-08 07:00:00,100.78,101.62,100.63,101.44,101.44,2614664,07:00:00
57,2018-06-08 08:00:00,101.46,101.46,101.16,101.45,101.45,1919080,08:00:00
58,2018-06-08 09:00:00,101.46,101.56,101.38,101.41,101.41,1440146,09:00:00
59,2018-06-08 10:00:00,101.4,101.64,101.26,101.63,101.63,1921917,10:00:00
60,2018-06-08 11:00:00,101.62,101.83,101.52,101.63,101.63,1833715,11:00:00
61,2018-06-08 12:00:00,101.63,101.93,101.6,101.64,101.64,3281547,12:00:00
62,2018-06-08 13:00:00,101.63,101.63,101.37,101.6,101.6,0,13:00:00
63,2018-06-08 14:00:00,101.6,101.66,101.57,101.6,101.6,0,14:00:00
64,2018-06-08 15:00:00,101.6,101.66,101.58,101.58,101.58,0,15:00:00
65,2018-06-08 16:00:00,101.63,101.63,101.63,101.63,101.63,0,16:00:00
66,2018-06-11 01:00:00,101.6,101.6,101.51,101.51,101.51,0,01:00:00
67,2018-06-11 02:00:00,101.67,101.67,101.67,101.67,101.67,0,02:00:00
68,2018-06-11 03:00:00,101.63,101.8,101.63,101.69,101.69,0,03:00:00
69,2018-06-11 04:00:00,101.7,101.89,101.5,101.52,101.52,0,04:00:00
70,2018-06-11 05:00:00,101.53,101.69,101.38,101.38,101.38,0,05:00:00
71,2018-06-11 06:00:00,101.5,101.57,100.68,100.95,100.95,5263187,06:00:00
72,2018-06-11 07:00:00,100.94,101.29,100.84,101.27,101.27,1797719,07:00:00
73,2018-06-11 08:00:00,101.25,101.54,101.18,101.5,101.5,1611437,08:00:00
74,2018-06-11 09:00:00,101.5,101.52,101.27,101.37,101.37,1202402,09:00:00
75,2018-06-11 10:00:00,101.38,101.44,101.07,101.11,101.11,1615833,10:00:00
76,2018-06-11 11:00:00,101.1,101.31,101.04,101.19,101.19,1651843,11:00:00
77,2018-06-11 12:00:00,101.2,101.33,101.0,101.07,101.07,2554300,12:00:00
78,2018-06-11 13:00:00,101.05,101.47,100.91,101.03,101.03,0,13:00:00
79,2018-06-11 14:00:00,101.0,101.15,101.0,101.15,101.15,0,14:00:00
80,2018-06-11 15:00:00,101.06,101.26,101.05,101.26,101.26,0,15:00:00
81,2018-06-11 16:00:00,101.22,101.22,101.08,101.1,101.1,0,16:00:00
82,2018-06-12 01:00:00,101.0,101.06,101.0,101.06,101.06,0,01:00:00
83,2018-06-12 02:00:00,101.06,101.06,101.06,101.06,101.06,0,02:00:00
84,2018-06-12 03:00:00,101.05,101.15,101.0,101.0,101.0,0,03:00:00
85,2018-06-12 04:00:00,101.1,101.34,101.05,101.15,101.15,0,04:00:00
86,2018-06-12 05:00:00,101.15,101.3,101.1,101.11,101.11,0,05:00:00
87,2018-06-12 06:00:00,101.16,101.44,101.04,101.07,101.07,3132835,06:00:00
88,2018-06-12 07:00:00,101.05,101.38,100.89,101.13,101.13,2748268,07:00:00
89,2018-06-12 08:00:00,101.15,101.4,101.05,101.08,101.08,1548174,08:00:00
90,2018-06-12 09:00:00,101.08,101.29,101.04,101.2,101.2,1415875,09:00:00
91,2018-06-12 10:00:00,101.19,101.28,100.78,100.82,100.82,1888506,10:00:00
92,2018-06-12 11:00:00,100.79,101.2,100.75,101.19,101.19,2233447,11:00:00
93,2018-06-12 12:00:00,101.2,101.44,101.18,101.31,101.31,2587232,12:00:00
94,2018-06-12 13:00:00,101.31,101.35,101.11,101.3,101.3,0,13:00:00
95,2018-06-12 14:00:00,101.31,101.4,101.31,101.32,101.32,0,14:00:00
96,2018-06-12 15:00:00,101.4,101.4,101.31,101.32,101.32,0,15:00:00
97,2018-06-12 16:00:00,101.32,101.59,101.32,101.59,101.59,0,16:00:00
98,2018-06-13 01:00:00,101.85,101.85,101.85,101.85,101.85,0,01:00:00
99,2018-06-13 02:00:00,101.85,101.88,101.73,101.73,101.73,0,02:00:00
100,2018-06-13 03:00:00,101.79,101.79,101.45,101.74,101.74,0,03:00:00
101,2018-06-13 04:00:00,101.56,101.76,101.35,101.5,101.5,0,04:00:00
102,2018-06-13 05:00:00,101.5,101.79,101.31,101.69,101.69,0,05:00:00
103,2018-06-13 06:00:00,101.7,101.77,101.07,101.53,101.53,6038297,06:00:00
104,2018-06-13 07:00:00,101.55,102.0,101.47,101.89,101.89,2926259,07:00:00
105,2018-06-13 08:00:00,101.88,101.97,101.4,101.44,101.44,1942129,08:00:00
106,2018-06-13 09:00:00,101.44,101.5,101.21,101.35,101.35,1464895,09:00:00
107,2018-06-13 10:00:00,101.35,101.52,100.58,100.8,100.8,3136159,10:00:00
108,2018-06-13 11:00:00,100.81,101.42,100.58,101.04,101.04,3803789,11:00:00
109,2018-06-13 12:00:00,101.04,101.05,100.78,100.88,100.88,3657833,12:00:00
110,2018-06-13 13:00:00,100.85,101.32,100.8,100.8,100.8,0,13:00:00
111,2018-06-13 14:00:00,100.83,101.0,100.77,101.0,101.0,0,14:00:00
112,2018-06-13 15:00:00,101.0,101.0,101.0,101.0,101.0,0,15:00:00
113,2018-06-13 16:00:00,100.96,100.96,100.86,100.86,100.86,0,16:00:00
114,2018-06-14 01:00:00,100.78,100.85,100.78,100.85,100.85,0,01:00:00
115,2018-06-14 02:00:00,100.85,100.85,100.85,100.85,100.85,0,02:00:00
116,2018-06-14 03:00:00,100.9,100.9,100.9,100.9,100.9,0,03:00:00
117,2018-06-14 04:00:00,100.9,101.11,100.75,101.02,101.02,0,04:00:00
118,2018-06-14 05:00:00,101.1,101.64,101.05,101.64,101.64,0,05:00:00
119,2018-06-14 06:00:00,101.62,102.03,101.0,101.87,101.87,6420460,06:00:00
120,2018-06-14 07:00:00,101.88,101.91,101.25,101.59,101.59,3073503,07:00:00
