Date,Open,High,Low,Close,Adj Close,Volume
2018-06-29,140.32000732421875,141.36000061035156,139.61000061035156,139.6999969482422,128.8771514892578,3710100
2018-07-02,138.27999877929688,140.22000122070312,138.1999969482422,139.86000061035156,129.02474975585938,3405400
2018-07-03,140.64999389648438,140.94000244140625,139.3699951171875,139.57000732421875,128.7572021484375,1963200
2018-07-05,140.47999572753906,141.42999267578125,139.92999267578125,141.42999267578125,130.47311401367188,3744700
2018-07-06,141.52999877929688,142.94000244140625,141.1699981689453,142.47999572753906,131.4417724609375,2849000
2018-07-09,142.58999633789062,144.72000122070312,142.47000122070312,144.38999938964844,133.2038116455078,3904700
2018-07-10,144.50999450683594,145.58999633789062,144.25999450683594,144.7100067138672,133.49900817871094,3777000
2018-07-11,144.0,146.19000244140625,144.0,144.94000244140625,133.711181640625,3526600
2018-07-12,145.85000610351562,146.8300018310547,145.74000549316406,146.4499969482422,135.1042022705078,3119500
2018-07-13,146.4499969482422,146.97999572753906,145.8000030517578,145.89999389648438,134.5968017578125,3062600
2018-07-16,145.6699981689453,145.7899932861328,144.2100067138672,145.4600067138672,134.19090270996094,3468800
2018-07-17,144.75,145.0,143.33999633789062,143.49000549316406,132.37350463867188,5096700
2018-07-18,143.50999450683594,144.8000030517578,142.74000549316406,144.52000427246094,133.32373046875,6935300
2018-07-19,147.85000610351562,150.5399932861328,147.25,149.24000549316406,137.67807006835938,14655800
2018-07-20,148.5800018310547,148.86000061035156,146.25999450683594,146.35000610351562,135.011962890625,6414600
2018-07-23,146.35000610351562,146.6999969482422,145.00999450683594,145.6999969482422,134.41229248046875,3897900
2018-07-24,146.6999969482422,147.0399932861328,145.9199981689453,146.3800048828125,135.03961181640625,3891600
2018-07-25,146.00999450683594,146.64999389648438,145.5,146.6199951171875,135.26101684570312,3630900
2018-07-26,147.42999267578125,149.27000427246094,146.6300048828125,146.7100067138672,135.3440704345703,4778000
